year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
1920,0.6312422636103152,0.515750143266476,238092.9971346705,0.4186995702005731,0.12320916905444126,0.35421854404011477,4.770773638968481,0.2160492836676219,-12.654020057306598,0.6361031518624641,0.6103151862464183,0.0829836676217765,113.22689971346703,0.49821002865329533
1921,0.8621051282051283,0.432170512820513,257891.7628205128,0.2411363461538462,0.07051282051282051,0.33715828737179476,5.108974358974359,0.2052185897435897,-16.811660256410246,0.6666666666666666,0.391025641025641,0.07895192307692306,102.42539743589741,0.37827564102564093
1922,0.8289338842975207,0.5756198347107437,140135.14049586776,0.22617264462809922,0.0,0.2547755020661157,4.8429752066115705,0.2566619834710744,-20.84008264462809,0.6611570247933884,0.09090909090909091,0.46436776859504136,100.03314876033059,0.5711900826446279
1923,0.9572467913513517,0.5773405405405401,177942.36216216217,0.2624064864864865,0.0,0.3717327250270269,4.8108108108108105,0.22746216216216206,-14.129210810810811,0.7891891891891892,5.205405405405405,0.09394864864864867,114.01072972972973,0.6254924324324328
1924,0.9401998601694928,0.5498940677966102,191046.70762711865,0.3443466101694912,0.0,0.5817009136440676,5.648305084745763,0.23521906779661,-14.231343220338985,0.7542372881355932,0.6610169491525424,0.092089406779661,120.68957203389823,0.6637254237288138
1925,0.962701648745521,0.5748745519713262,184777.62365591398,0.2780860215053763,0.0,0.42019593698924723,5.096774193548387,0.2372068100358422,-14.165354838709671,0.7311827956989247,2.6702508960573477,0.11166845878136207,115.47983154121863,0.6211870967741934
1926,0.6663868848758487,0.5969149736644092,157836.34988713317,0.21050642588412327,0.1670428893905192,0.3360934177050413,5.610985703536493,0.2320212942061703,-18.48742287434162,0.6606471030850264,1.436418359668924,0.4779189616252817,109.57097215951842,0.4370937622272383
1927,0.9158258200000028,0.6559293333333329,176542.812,0.26790213333333335,0.016,0.32099203556,4.961333333333333,0.17738653333333335,-15.235275999999976,0.6813333333333333,0.684,0.261915333333333,112.66370666666654,0.6696757333333335
1928,0.9391407145098026,0.5349066666666661,214396.03215686276,0.2088558196078431,0.0,0.4909548132156863,5.39843137254902,0.17465733333333328,-17.13142352941175,0.7050980392156863,1.4533333333333334,0.15864533333333336,106.74906196078446,0.49741231372549016
1929,0.6010148370136718,0.6478398527865401,168795.60988433228,0.24190778128285975,0.45215562565720296,0.21540508682439558,5.419558359621451,0.2359770767613036,-16.533055730809654,0.711882229232387,0.31440588853838064,0.4904637223974763,110.92671083070452,0.6368048370136701
1930,0.9356248883881173,0.5197101802757159,194691.10286320254,0.33485984093319204,0.0042417815482502655,0.35186930079003176,5.36373276776246,0.22063483563096506,-12.823486744432675,0.6728525980911984,0.8510074231177094,0.12019793213149517,109.92478844114518,0.6160890774125142
1931,0.8331824380165301,0.5948927685950423,171564.24483471076,0.23473644938016547,0.3130165289256198,0.22192114648760367,5.043388429752066,0.22724628099173552,-16.509507231404942,0.6859504132231405,0.22107438016528927,0.4527522727272729,108.97437809917368,0.5128472107438018
1932,0.7733629156010245,0.6022140664961636,174763.5230179028,0.27836227621483395,0.0,0.15546704255754482,4.268542199488491,0.21875447570332496,-16.459603580562646,0.7404092071611253,1.7838874680306904,0.41988734015345264,110.47795268542204,0.5988533248081837
1933,0.8908802495726501,0.5700692307692304,196407.0811965812,0.2867542735042735,0.004273504273504274,0.18238781868945858,5.311965811965812,0.20972108262108252,-12.972915954415965,0.6923076923076923,6.873219373219373,0.09092806267806268,112.59650427350425,0.5986485754985753
1934,0.888513707216495,0.529168384879725,189385.65120274914,0.2635702749140894,0.001718213058419244,0.27616513938144366,4.965635738831615,0.2127268041237113,-14.755116838487972,0.7319587628865979,1.309278350515464,0.10207130584192432,115.40552920962193,0.558806013745705
1935,0.7794678283151818,0.554997053171045,221102.22421524665,0.24662291479820622,0.17745035233824472,0.22365544707238946,5.688661114670083,0.2296258167841127,-15.405760409993599,0.6732863549007047,1.3721973094170403,0.3550445227418322,110.72258744394634,0.5445181934657274
1936,0.6019832632999995,0.6233780500000001,172978.595,0.2640076749500002,0.0,0.11850880667999991,4.7965,0.21355614999999972,-19.123150000000006,0.6835,2.6635,0.6271309499999987,108.39304699999988,0.5612937999999996
1937,0.8655405612708025,0.5426403933434191,223035.1921331316,0.31051245083207246,0.01059001512859304,0.3286776088048415,5.523449319213313,0.22534009077155823,-13.120916792738273,0.7125567322239031,3.281391830559758,0.08578350983358546,115.16774281391821,0.5850388804841145
1938,0.9136303530546632,0.48051045016077204,247940.72186495177,0.2812483922829584,0.0,0.37636335974276536,5.056270096463023,0.2360196141479098,-14.307977491961415,0.7668810289389068,2.072347266881029,0.09528697749196152,111.64432475884244,0.5146599839228292
1939,0.9090123100000007,0.5136558000000002,220997.613,0.2848278000000002,0.001,0.28158795441000023,5.306,0.24085729999999994,-13.847035000000005,0.717,4.096,0.12867819999999994,113.32418199999996,0.5612246999999995
1940,0.8465204781704744,0.5254509875259874,181590.275987526,0.3122784251559252,0.19178794178794178,0.32291329170997907,5.503638253638254,0.26248019750519774,-13.612398648648659,0.6242203742203742,0.8503118503118503,0.2457615384615385,108.87211070686068,0.622196382536383
1941,0.8946919855222363,0.4810745604963815,201647.84281282316,0.2654865253360909,0.010341261633919338,0.4427099635367114,4.983453981385729,0.20159855222337106,-15.728245087900715,0.6938986556359876,1.2771458117890382,0.09181220268872826,107.84667114788003,0.4806512926577037
1942,0.8536987646363056,0.4650137196924897,222156.54642223538,0.2554481194559435,0.0,0.39384954910703673,5.292726197516263,0.21241129509166137,-15.029963926670622,0.7303370786516854,1.1324659964518036,0.08398143110585449,106.005413956239,0.47811454760496863
1943,0.9030772355742331,0.4550971988795515,239661.58963585435,0.27989065826330534,0.0,0.4100970037254907,5.264705882352941,0.23984957983193309,-13.602957983193289,0.7296918767507002,1.0742296918767507,0.10559019607843138,106.17102801120453,0.4953791316526606
1944,0.9082415045395609,0.5025696498054477,244107.42282749675,0.2526620881971467,0.0012970168612191958,0.4509160582230864,5.773022049286641,0.23688858625162118,-14.56026977950712,0.6536964980544747,2.9299610894941632,0.17254306095979233,105.92034241245135,0.5419750972762646
1945,0.7113860130000009,0.5178561500000012,195720.2665,0.22541257050000008,0.2575,0.2749280698699997,4.552,0.2033342000000001,-16.927997499999986,0.736,2.093,0.30171354999999966,108.25691699999986,0.49141630000000003
1946,0.9206274223245067,0.41514108170310676,266923.7186421174,0.22236073647871105,0.0011507479861910242,0.48673598736478646,5.4027617951668585,0.21050316455696222,-16.89752876869964,0.7117376294591484,1.6599539700805523,0.0885256041426929,103.12142577675488,0.4007510932105872
1947,0.9156553832938353,0.47210390995260715,232131.8827014218,0.26295517772511867,0.0,0.3512090884182467,5.222156398104265,0.22344502369668234,-14.414843601895752,0.7174170616113744,1.6421800947867298,0.10022861374407585,108.97288329383876,0.5091807464454978
1948,0.9229491499999952,0.4627362500000003,200208.082,0.2414835490000002,0.0845,0.3618871379399996,5.0275,0.2187986499999996,-15.51719899999999,0.6875,1.4295,0.16078170000000028,107.68421149999982,0.46221065000000033
1949,0.9070877949999955,0.4440308999999995,223351.576,0.24721401499999962,0.0,0.29875868940499956,5.0975,0.2095805000000004,-15.490746999999995,0.7355,3.771,0.10339205000000004,108.87556349999996,0.43433360000000026
1950,0.8228144005999973,0.5290370500000003,208073.6155,0.30353605000000045,0.043,0.2116878559149997,5.426,0.22493150000000023,-14.400895999999975,0.6905,3.86,0.2504793500000001,110.50021199999986,0.5570353999999995
1951,0.9003344356499973,0.46142309999999986,212773.3105,0.25727004000000003,0.0025,0.3032900804900004,5.0855,0.21953989999999998,-15.724955500000034,0.7345,3.4195,0.10735124999999997,109.56988249999984,0.44362545000000003
1952,0.8755217394999967,0.45602119999999996,231152.291,0.2556151100000002,0.0255,0.28386363184000024,4.9665,0.23385554999999994,-15.794886500000011,0.7355,3.505,0.13780309999999982,108.2383544999999,0.4429670620499996
1953,0.8917467414999969,0.44083369999999994,216552.2595,0.26741820999999966,0.0055,0.3146247884099999,5.047,0.2214423999999999,-15.414304499999988,0.731,3.6725,0.09259075000000004,110.00811300000004,0.43225100000000016
1954,0.8674129972999983,0.4603712499999994,225951.7585,0.2635610349999999,0.0,0.29132038316000036,4.9605,0.21600780000000003,-15.342990500000003,0.7305,7.707,0.10324314999999985,108.56191249999993,0.4472911499999997
1955,0.8491544579549977,0.4863890999999999,220322.8975,0.28837659499999957,0.001,0.2297107907100001,5.147,0.22401234999999975,-14.261971999999997,0.661,9.765,0.09799290000000015,110.58108099999998,0.46935495000000027
1956,0.8234554899999978,0.4892960500000006,211950.807,0.3026952100000004,0.0,0.23210641707500007,4.977,0.1840064000000007,-14.179832500000003,0.708,15.7935,0.06287684999999993,111.88017150000015,0.5086227499999999
1957,0.793775100000002,0.5036533999999999,240072.304,0.2938097549999997,0.0,0.20377219363999993,4.7795,0.1862875999999999,-14.271581000000035,0.6765,19.7005,0.06757559999999994,112.52888549999989,0.5109486000000003
1958,0.7774467449999998,0.47813154999999946,213321.451,0.3088676800000003,0.0,0.18986254418499987,5.117,0.20264585000000046,-14.219955000000024,0.725,19.2315,0.05761909999999989,112.51172399999993,0.49033495000000005
1959,0.7849092200000009,0.47976285000000046,211928.132,0.3122101900000001,0.0,0.1838199089899998,4.9915,0.19251640000000025,-14.413364000000012,0.745,20.5825,0.06436665000000007,111.38834,0.478257100000001
1960,0.7682544230000004,0.4820517000000005,210238.5085,0.33937980000000006,0.0,0.18165535376999992,5.13,0.20775540000000028,-13.806002000000031,0.7485,19.8485,0.06495709999999995,112.35459950000012,0.5190262500000005
1961,0.7581470750000001,0.4877147500000002,234195.0765,0.33607667399999924,0.0,0.26537126920500015,4.8805,0.20764334999999953,-14.269377000000018,0.7225,19.308,0.059272099999999925,111.64905549999999,0.5073552999999997
1962,0.7259418515000001,0.49074439999999947,206267.5385,0.3660735799999996,0.0,0.17120907309000016,5.1205,0.20179070000000027,-13.273912499999977,0.7385,21.93,0.05652564999999999,114.68595150000007,0.5415934000000002
